YEAR,CL_CONS_EPS,SO2_ALWCLRSPT,ELCT_GNRT_TTL,HH_NGSPTPRC,CL_NPCPCT
1993,831645.183,131,3197191.096,NA,317331.6
1994,838354.196,150,3247522.388,NA,318172.6
1995,850230.475,130,3353487.362,NA,320632
1996,896920.592,66.05,3444187.621,NA,322545.3
1997,921363.598,106.75,3492172.283,2.49,322634.9
1998,936619.299,115.01,3620295.498,2.09,322638.4
1999,940921.757,200.55,3694809.81,2.27,322728.4
2000,985820.847,126,3802105.043,4.31,322814.6
2001,964432.935,173.57,3736643.649,3.96,323273.8
2002,977506.712,160.5,3858452.246,3.38,322226.4
2003,1005116.159,171.8,3883185.204,5.47,321373.9
2004,1016268.012,260,3970555.264,5.89,321414.9
2005,1037484.561,690,4055422.75,8.69,321599.1
2006,1026636.031,860.07,4064702.228,6.73,321480.9
2007,1045141.487,433.25,4156744.724,6.97,321735.3
2008,1040580.089,380.01,4119387.76,8.86,322699.9
2009,933626.951,62,3950330.927,3.94,324161
2010,975052.49,36.2,4125059.9,4.37,328462.6
2011,932484.085,2,4100140.927,4,330486.4
2012,823551.491,0.56,4047765.26,2.75,324720.4
2013,857961.773,0.17,4065964.068,3.73,319964.7
2014,851601.859,0.35,4093606.006,4.37,315454.1
2015,738444.083,0.11,4077600.939,2.62,299065.7
2016,678554.486,0.06,4076674.984,2.52,290432
2017,664993.053,0.04,4034268.432,2.99,284351.4
2018,NA,0.06,4177809.699,NA,274581.3
